,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
0,USA,"83,170,407",,"1,021,089 ",,"80,757,424",,"1,391,894","1,550","248,601","3,052","1,006,269,592","3,007,793","334,554,103 ",North America,4,328,0,,,"4,160",2022-05-03
1,India,"43,085,166",,"523,889 ",,"42,541,887",,"19,390",698,"30,669",373,"838,628,250","596,961","1,404,828,550 ",Asia,33,"2,682",2,,,14,2022-05-03
2,Brazil,"30,460,997",,"663,657 ",,"29,554,308",,"243,032","8,318","141,466","3,082","63,776,166","296,187","215,324,039 ",South America,7,324,3,,,"1,129",2022-05-03
3,France,"28,690,748",,"146,142 ",,"27,163,913","+146,246","1,380,693","1,511","437,774","2,230","269,816,888","4,116,967","65,537,780 ",Europe,2,448,0,,,"21,067",2022-05-03
4,Germany,"24,791,190",,"135,947 ",,"22,658,600","+189,400","1,996,643","1,446","294,173","1,613","122,332,384","1,451,601","84,274,119 ",Europe,3,620,1,,,"23,692",2022-05-03
5,UK,"22,038,340",,"174,912 ",,"21,313,159","+49,031","550,269",302,"321,547","2,552","517,337,635","7,548,132","68,538,498 ",Europe,3,392,0,,,"8,029",2022-05-03
6,Russia,"18,201,074","+5,466","376,292 ",+125,"17,563,272","+7,052","261,510","2,300","124,623","2,576","273,400,000","1,871,975","146,048,952 ",Europe,8,388,1,37,0.9,"1,791",2022-05-03
7,S. Korea,"17,346,753","+51,020","23,007 ",+49,N/A,N/A,N/A,417,"337,815",448,"15,804,065","307,772","51,349,914 ",Asia,3,"2,232",3,994,1.0,"318,486",2022-05-03
8,Italy,"16,523,859",,"163,736 ",,"15,155,021",,"1,205,102",368,"274,031","2,715","214,183,728","3,552,018","60,299,169 ",Europe,4,368,0,,,"19,985",2022-05-03
9,Turkey,"15,034,917",,"98,791 ",,"14,931,490",,"4,636",975,"174,826","1,149","159,230,999","1,851,534","85,999,512 ",Asia,6,871,1,,,54,2022-05-03
10,Spain,"11,896,152",,"104,456 ",,"11,389,694",,"402,002",339,"254,257","2,233","471,036,328","10,067,479","46,787,912 ",Europe,4,448,0,,,"8,592",2022-05-03
11,Vietnam,"10,656,649",,"43,044 ",,"9,265,456",,"1,348,149",475,"107,707",435,"85,800,783","867,191","98,941,036 ",Asia,9,"2,299",1,,,"13,626",2022-05-03
12,Argentina,"9,083,673",,"128,653 ",,"8,895,999",,"59,021",372,"197,666","2,800","35,716,069","777,204","45,954,590 ",South America,5,357,1,,,"1,284",2022-05-03
13,Netherlands,"8,051,301",,"22,256 ",,"7,875,672",,"153,373",70,"467,984","1,294","21,107,399","1,226,872","17,204,241 ",Europe,2,773,1,,,"8,915",2022-05-03
14,Japan,"7,925,130","+23,197","29,631 ",+30,"7,517,841","+38,420","377,658",160,"63,014",236,"48,945,912","389,176","125,768,126 ",Asia,16,"4,244",3,184,0.2,"3,003",2022-05-03
15,Iran,"7,223,005",,"141,114 ",,"6,989,358",,"92,533","1,038","84,028","1,642","50,914,586","592,307","85,959,848 ",Asia,12,609,2,,,"1,076",2022-05-03
16,Colombia,"6,092,667",,"139,797 ",,"5,926,476",,"26,394",342,"117,449","2,695","34,465,052","664,384","51,875,179 ",South America,9,371,2,,,509,2022-05-03
17,Indonesia,"6,047,208",,"156,287 ",,"5,883,664",,"7,257","2,771","21,689",561,"95,693,154","343,213","278,815,543 ",Asia,46,"1,784",3,,,26,2022-05-03
18,Australia,"6,029,879","+37,731","7,310 ",+40,"5,658,513",,"364,056",143,"231,551",281,"69,540,042","2,670,385","26,041,202 ",Australia/Oceania,4,"3,562",0,"1,449",2,"13,980",2022-05-03
19,Poland,"5,997,825",+890,"116,069 ",+14,"5,334,769",+33,"546,987","1,321","158,795","3,073","36,116,043","956,190","37,770,774 ",Europe,6,325,1,24,0.4,"14,482",2022-05-03
20,Mexico,"5,740,080",,"324,350 ",,"5,039,624",,"376,106","4,798","43,680","2,468","15,801,675","120,246","131,411,221 ",North America,23,405,8,,,"2,862",2022-05-03
21,Ukraine,"5,002,870",,"108,411 ",,N/A,N/A,N/A,177,"115,665","2,506","19,521,252","451,326","43,253,122 ",Europe,9,399,2,,,"19,338",2022-05-03
22,Malaysia,"4,450,859",,"35,555 ",,"4,378,864",,"36,440",66,"134,367","1,073","58,808,233","1,775,360","33,124,688 ",Asia,7,932,1,,,"1,100",2022-05-03
23,Thailand,"4,281,536","+9,721","28,781 ",+77,"4,134,191","+20,145","118,564","1,496","61,060",410,"17,270,775","246,302","70,120,440 ",Asia,16,"2,436",4,139,1,"1,691",2022-05-03
24,Austria,"4,154,244","+5,240","18,183 ",+13,"4,063,754","+8,028","72,307",80,"456,489","1,998","183,321,889","20,144,324","9,100,424 ",Europe,2,500,0,576,1,"7,945",2022-05-03
25,Israel,"4,080,487",,"10,698 ",,"4,048,807",,"20,982",220,"437,539","1,147","41,373,364","4,436,346","9,326,000 ",Asia,2,872,0,,,"2,250",2022-05-03
26,Belgium,"4,071,279",,"31,494 ",,"3,839,733","+20,124","200,052",131,"348,511","2,696","33,643,042","2,879,926","11,681,911 ",Europe,3,371,0,,,"17,125",2022-05-03
27,Czechia,"3,907,793","+1,680","40,175 ",+2,"3,855,944","+1,966","11,674",30,"363,674","3,739","55,226,142","5,139,548","10,745,331 ",Europe,3,267,0,156,0.2,"1,086",2022-05-03
28,Portugal,"3,853,800",,"22,280 ",,N/A,N/A,N/A,61,"379,972","2,197","41,336,850","4,075,681","10,142,317 ",Europe,3,455,0,,,"94,194",2022-05-03
29,South Africa,"3,798,413",,"100,370 ",,"3,651,665",,"46,378",192,"62,601","1,654","24,505,584","403,871","60,676,777 ",Africa,16,605,2,,,764,2022-05-03
30,Canada,"3,756,272",,"39,292 ",,"3,459,763",,"257,217",468,"97,953","1,025","60,943,345","1,589,234","38,347,627 ",North America,10,976,1,,,"6,708",2022-05-03
31,Philippines,"3,686,082",,"60,410 ",,"3,620,369",,"5,303",289,"32,838",538,"29,599,478","263,694","112,249,444 ",Asia,30,"1,858",4,,,47,2022-05-03
32,Switzerland,"3,602,489",,"13,859 ",,"3,485,200","+8,164","103,430",87,"410,754","1,580","20,767,523","2,367,903","8,770,428 ",Europe,2,633,0,,,"11,793",2022-05-03
33,Peru,"3,566,523",,"212,865 ",,N/A,N/A,N/A,293,"105,481","6,296","29,886,697","883,904","33,812,147 ",South America,9,159,1,,,"48,296",2022-05-03
34,Chile,"3,562,521",,"57,541 ",,"3,424,634",,"80,346",209,"183,480","2,964","37,084,042","1,909,930","19,416,438 ",South America,5,337,1,,,"4,138",2022-05-03
35,Greece,"3,331,288",,"29,205 ",,"3,230,438",,"71,645",235,"322,489","2,827","79,941,425","7,738,826","10,329,916 ",Europe,3,354,0,,,"6,936",2022-05-03
36,Denmark,"2,967,388",,"6,183 ",,"2,944,366",,"16,839",8,"509,028","1,061","127,233,608","21,825,732","5,829,523 ",Europe,2,943,0,,,"2,889",2022-05-03
37,Romania,"2,894,896",,"65,496 ",,"2,606,660",,"222,740",191,"152,339","3,447","22,725,764","1,195,908","19,002,936 ",Europe,7,290,1,,,"11,721",2022-05-03
38,Sweden,"2,500,917",,"18,739 ",,"2,470,701",,"11,477",21,"244,840","1,835","18,513,445","1,812,469","10,214,488 ",Europe,4,545,1,,,"1,124",2022-05-03
39,Iraq,"2,325,247",,"25,211 ",,"2,298,174",,"1,862",15,"55,531",602,"18,482,865","441,400","41,873,314 ",Asia,18,"1,661",2,,,44,2022-05-03
40,Serbia,"2,007,091",,"16,002 ",,"1,977,662",,"13,427",21,"231,419","1,845","9,497,175","1,095,029","8,672,986 ",Europe,4,542,1,,,"1,548",2022-05-03
41,Bangladesh,"1,952,726",,"29,127 ",,"1,896,001",,"27,598","1,297","11,645",174,"13,995,586","83,460","167,691,408 ",Asia,86,"5,757",12,,,165,2022-05-03
42,Hungary,"1,903,200",,"46,266 ",,"1,808,061",,"48,873",40,"197,931","4,812","11,355,462","1,180,957","9,615,474 ",Europe,5,208,1,,,"5,083",2022-05-03
43,Slovakia,"1,782,607",+765,"19,938 ",+7,"1,746,031",+690,"16,638",70,"326,217","3,649","7,099,765","1,299,257","5,464,480 ",Europe,3,274,1,140,1,"3,045",2022-05-03
44,Jordan,"1,694,216",,"14,048 ",,"1,678,941",,"1,227",124,"163,086","1,352","16,670,254","1,604,689","10,388,461 ",Asia,6,739,1,,,118,2022-05-03
45,Georgia,"1,655,221",,"16,811 ",,"1,637,293",,"1,117",,"416,391","4,229","16,920,079","4,256,454","3,975,158 ",Asia,2,236,0,,,281,2022-05-03
46,Pakistan,"1,528,564",+46,"30,372 ",,"1,494,141",,"4,051",110,"6,683",133,"28,202,655","123,297","228,737,931 ",Asia,150,"7,531",8,0.2,,18,2022-05-03
47,Ireland,"1,517,112",,"7,087 ",,"1,461,810",,"48,215",41,"301,092","1,407","12,063,637","2,394,195","5,038,702 ",Europe,3,711,0,,,"9,569",2022-05-03
48,Norway,"1,426,491",,"2,932 ",,N/A,N/A,N/A,20,"259,418",533,"11,002,430","2,000,877","5,498,803 ",Europe,4,"1,875",0,,,"242,709",2022-05-03
49,Kazakhstan,"1,305,551",+3,"13,660 ",,"1,291,101",+12,790,24,"68,041",712,"11,575,012","603,254","19,187,625 ",Asia,15,"1,405",2,0.2,,41,2022-05-03
50,Hong Kong,"1,204,793",,"9,318 ",,N/A,N/A,N/A,5,"158,353","1,225","44,972,952","5,911,063","7,608,268 ",Asia,6,817,0,,,"155,389",2022-05-03
51,Singapore,"1,200,976",,"1,338 ",,"1,140,531",,"59,107",6,"202,371",225,"23,767,171","4,004,897","5,934,528 ",Asia,5,"4,435",0,,,"9,960",2022-05-03
52,Morocco,"1,164,984",,"16,069 ",,"1,148,556",,359,293,"30,892",426,"11,237,010","297,977","37,710,997 ",Africa,32,"2,347",3,,,10,2022-05-03
53,Bulgaria,"1,157,199",,"36,920 ",,"978,533",,"141,746",77,"168,866","5,388","9,855,728","1,438,212","6,852,765 ",Europe,6,186,1,,,"20,684",2022-05-03
54,Croatia,"1,123,029",,"15,843 ",,"1,102,510",,"4,676",15,"276,679","3,903","4,790,822","1,180,309","4,058,956 ",Europe,4,256,1,,,"1,152",2022-05-03
55,Cuba,"1,103,286",,"8,527 ",,"1,093,878",,881,23,"97,515",754,"12,920,253","1,141,974","11,313,967 ",North America,10,"1,327",1,,,78,2022-05-03
56,Lebanon,"1,097,044",,"10,387 ",,"1,081,770",,"4,887",186,"162,056","1,534","4,795,578","708,406","6,769,529 ",Asia,6,652,1,,,722,2022-05-03
57,Lithuania,"1,058,779",+234,"9,108 ",+2,"1,026,020","+1,219","23,651",30,"399,114","3,433","8,255,055","3,111,799","2,652,824 ",Europe,3,291,0,88,0.8,"8,915",2022-05-03
58,Tunisia,"1,040,193",,"28,550 ",,N/A,N/A,N/A,29,"86,360","2,370","4,572,976","379,661","12,044,884 ",Africa,12,422,3,,,"-1,198.19",2022-05-03
59,Finland,"1,023,013",,"3,939 ",,"46,000",,"973,074",24,"184,112",709,"10,720,282","1,929,334","5,556,468 ",Europe,5,"1,411",1,,,"175,125",2022-05-03
60,Slovenia,"1,010,785",,"6,595 ",,"991,301",,"12,889",22,"486,080","3,171","2,646,952","1,272,903","2,079,461 ",Europe,2,315,1,,,"6,198",2022-05-03
61,Belarus,"980,828",,"6,951 ",,"928,536",,"45,341",,"103,861",736,"13,171,246","1,394,722","9,443,636 ",Europe,10,"1,359",1,,,"4,801",2022-05-03
62,Nepal,"978,836",,"11,951 ",,"966,674",,211,,"32,524",397,"5,642,144","187,475","30,095,444 ",Asia,31,"2,518",5,,,7,2022-05-03
63,New Zealand,"952,697","+9,269",731 ,+18,"895,772","+6,452","56,194",,"190,459",146,"7,083,851","1,416,175","5,002,100 ",Australia/Oceania,5,"6,843",1,"1,853",4,"11,234",2022-05-03
64,Bolivia,"905,074",,"21,923 ",,"859,142",,"24,009",220,"75,648","1,832","2,699,040","225,591","11,964,333 ",South America,13,546,4,,,"2,007",2022-05-03
65,UAE,"899,033",,"2,302 ",,"882,591",,"14,140",,"88,934",228,"156,338,294","15,465,208","10,109,033 ",Asia,11,"4,391",0,,,"1,399",2022-05-03
66,Uruguay,"895,775",,"7,197 ",,"886,654",,"1,924",18,"256,246","2,059","6,091,188","1,742,452","3,495,757 ",South America,4,486,1,,,550,2022-05-03
67,Ecuador,"869,696",,"35,598 ",,N/A,N/A,N/A,759,"47,962","1,963","2,470,170","136,224","18,133,173 ",South America,21,509,7,,,"21,520",2022-05-03
68,Costa Rica,"852,074",,"8,405 ",,"832,853",,"10,816",45,"164,518","1,623","4,291,131","828,527","5,179,229 ",North America,6,616,1,,,"2,088",2022-05-03
69,Guatemala,"846,632",,"17,613 ",,"826,812",,"2,207",5,"45,710",951,"4,466,318","241,139","18,521,789 ",North America,22,"1,052",4,,,119,2022-05-03
70,Latvia,"823,110",+384,"5,777 ",+7,"809,733",,"7,600",8,"445,392","3,126","7,186,387","3,888,618","1,848,057 ",Europe,2,320,0,208,4,"4,112",2022-05-03
71,Azerbaijan,"792,579",,"9,709 ",,"782,786",,84,,"76,902",942,"6,819,005","661,629","10,306,390 ",Asia,13,"1,062",2,,,8,2022-05-03
72,Panama,"777,658",,"8,185 ",,"763,170",,"6,303",8,"175,187","1,844","5,883,163","1,325,328","4,439,024 ",North America,6,542,1,,,"1,420",2022-05-03
73,Saudi Arabia,"754,238",,"9,093 ",,"741,906",,"3,239",49,"21,065",254,"41,912,766","1,170,560","35,805,734 ",Asia,47,"3,938",1,,,90,2022-05-03
74,Sri Lanka,"663,408",,"16,505 ",,"646,129",,774,,"30,745",765,"6,486,117","300,596","21,577,526 ",Asia,33,"1,307",3,,,36,2022-05-03
75,Paraguay,"649,455",,"18,870 ",,"624,673",,"5,912",2,"89,054","2,587","2,623,300","359,709","7,292,833 ",South America,11,386,3,,,811,2022-05-03
76,Kuwait,"631,409",,"2,555 ",,"628,090",,764,8,"143,956",583,"8,007,805","1,825,717","4,386,115 ",Asia,7,"1,717",1,,,174,2022-05-03
77,Myanmar,"612,914",,"19,434 ",,"591,847",,"1,633",,"11,128",353,"7,970,408","144,713","55,077,194 ",Asia,90,"2,834",7,,,30,2022-05-03
78,Palestine,"581,940",,"5,353 ",,"576,242",,345,17,"109,422","1,007","3,078,533","578,856","5,318,304 ",Asia,9,994,2,,,65,2022-05-03
79,Dominican Republic,"579,443",,"4,376 ",,"574,726",,341,1,"52,453",396,"3,279,736","296,891","11,046,946 ",North America,19,"2,524",3,,,31,2022-05-03
80,Estonia,"572,193",,"2,539 ",,"511,039",,"58,615",3,"430,814","1,912","3,326,696","2,504,727","1,328,167 ",Europe,2,523,0,,,"44,132",2022-05-03
81,Bahrain,"569,370",,"1,476 ",,"564,735",,"3,159",1,"314,620",816,"9,727,349","5,375,093","1,809,708 ",Asia,3,"1,226",0,,,"1,746",2022-05-03
82,Venezuela,"522,514",,"5,709 ",,"515,728",,"1,077",230,"18,471",202,"3,359,014","118,741","28,288,539 ",South America,54,"4,955",8,,,38,2022-05-03
83,Moldova,"516,986",,"11,489 ",,"504,142",,"1,355",49,"128,706","2,860","3,216,305","800,711","4,016,810 ",Europe,8,350,1,,,337,2022-05-03
84,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,871",232,"3,693,367","34,888","105,865,008 ",Africa,205,"4,301",29,,,461,2022-05-03
85,Libya,"501,904",,"6,430 ",,"490,973",,"4,501",101,"71,271",913,"2,477,219","351,766","7,042,237 ",Africa,14,"1,095",3,,,639,2022-05-03
86,Cyprus,"474,267",,"1,020 ",,"124,370",,"348,877",60,"387,650",834,"9,477,138","7,746,304","1,223,440 ",Asia,3,"1,199",0,,,"285,161",2022-05-03
87,Ethiopia,"470,587",,"7,510 ",,"455,391",,"7,686",11,"3,916",62,"47,913,653","398,711","120,171,463 ",Africa,255,"16,002",3,,,64,2022-05-03
88,Mongolia,"469,885",,"2,179 ",,"313,256",,"154,450",192,"139,231",646,"4,030,048","1,194,135","3,374,868 ",Asia,7,"1,549",1,,,"45,765",2022-05-03
89,Honduras,"423,179",,"10,893 ",,"132,318",,"279,968",105,"41,517","1,069","1,263,329","123,943","10,192,790 ",North America,24,936,8,,,"27,467",2022-05-03
90,Armenia,"422,874",,"8,622 ",,"412,019",+16,"2,233",,"142,220","2,900","3,057,702","1,028,360","2,973,377 ",Asia,7,345,1,,,751,2022-05-03
91,Oman,"389,126",,"4,258 ",,"384,243",,625,4,"72,814",797,"25,000,000","4,678,022","5,344,139 ",Asia,14,"1,255",0,,,117,2022-05-03
92,Bosnia and Herzegovina,"377,087",,"15,765 ",,"192,218",,"169,104",,"116,260","4,861","1,758,191","542,068","3,243,488 ",Europe,9,206,2,,,"52,136",2022-05-03
93,Réunion,"374,295",,742 ,,"355,605",,"17,948",10,"412,672",818,"1,603,660","1,768,087","907,003 ",Africa,2,"1,222",1,,,"19,788",2022-05-03
94,Qatar,"364,728",,677 ,,"363,516",,535,3,"129,898",241,"3,447,199","1,227,720","2,807,805 ",Asia,8,"4,147",1,,,191,2022-05-03
95,Kenya,"323,792",,"5,649 ",,"318,002",,141,,"5,788",101,"3,602,311","64,399","55,937,629 ",Africa,173,"9,902",16,,,3,2022-05-03
96,Zambia,"319,755",,"3,976 ",,"315,266",,513,1,"16,546",206,"3,429,405","177,456","19,325,435 ",Africa,60,"4,861",6,,,27,2022-05-03
97,North Macedonia,"309,769",,"9,280 ",,"299,865",,624,,"148,697","4,455","2,022,649","970,925","2,083,218 ",Europe,7,224,1,,,300,2022-05-03
98,Botswana,"305,859",,"2,688 ",,"303,026",,145,1,"125,430","1,102","2,026,898","831,215","2,438,477 ",Africa,8,907,1,,,59,2022-05-03
99,Albania,"275,177",,"3,496 ",,"271,306",,375,2,"95,812","1,217","1,807,808","629,449","2,872,048 ",Europe,10,822,2,,,131,2022-05-03
100,Algeria,"265,782",,"6,875 ",,"178,358",,"80,549",6,"5,867",152,"230,861","5,096","45,299,522 ",Africa,170,"6,589",196,,,"1,778",2022-05-03
101,Nigeria,"255,753",,"3,143 ",,"249,911",,"2,699",11,"1,187",15,"5,075,820","23,556","215,483,403 ",Africa,843,"68,560",42,,,13,2022-05-03
102,Zimbabwe,"247,935",,"5,470 ",,"241,850",,615,12,"16,249",358,"2,259,285","148,065","15,258,752 ",Africa,62,"2,790",7,,,40,2022-05-03
103,Uzbekistan,"238,628",+1,"1,637 ",,"236,746",+10,245,23,"6,946",48,"1,377,915","40,106","34,356,605 ",Asia,144,"20,988",25,0.03,,7,2022-05-03
104,Luxembourg,"237,856",,"1,064 ",,"227,197",,"9,595",3,"368,993","1,651","4,227,288","6,557,920","644,608 ",Europe,3,606,0,,,"14,885",2022-05-03
105,Montenegro,"235,338",,"2,715 ",,"231,918",,705,6,"374,616","4,322","2,454,364","3,906,910","628,211 ",Europe,3,231,0,,,"1,122",2022-05-03
106,Mozambique,"225,387",,"2,201 ",,"223,138",,48,13,"6,860",67,"1,313,728","39,984","32,856,704 ",Africa,146,"14,928",25,,,1,2022-05-03
107,Laos,"207,867",+153,745 ,+1,"7,660",,"199,462",,"27,832",100,"1,232,128","164,972","7,468,707 ",Asia,36,"10,025",6,20,0.1,"26,706",2022-05-03
108,Kyrgyzstan,"200,993",,"2,991 ",,"196,405",,"1,597",131,"29,905",445,"1,907,195","283,762","6,721,105 ",Asia,33,"2,247",4,,,238,2022-05-03
109,Iceland,"185,579",,119 ,,"75,685",,"109,775",,"537,451",345,"1,953,616","5,657,817","345,295 ",Europe,2,"2,902",0,,,"317,917",2022-05-03
110,Maldives,"179,171",,298 ,,"163,687",,"15,186",25,"321,119",534,"2,213,831","3,967,731","557,959 ",Asia,3,"1,872",0,,,"27,217",2022-05-03
111,Afghanistan,"178,901",,"7,683 ",,"161,896",,"9,322","1,124","4,414",190,"944,738","23,309","40,531,821 ",Asia,227,"5,276",43,,,230,2022-05-03
112,Taiwan,"173,942","+23,139",876 ,+5,"28,721",+929,"144,345",,"7,279",37,"14,936,942","625,091","23,895,647 ",Asia,137,"27,278",2,968,0.2,"6,041",2022-05-03
113,Uganda,"164,069",,"3,596 ",,"100,205",,"60,268",2,"3,391",74,"2,612,795","54,003","48,382,232 ",Africa,295,"13,454",19,,,"1,246",2022-05-03
114,El Salvador,"162,089",,"4,128 ",,"150,662",,"7,299",8,"24,761",631,"1,950,448","297,956","6,546,087 ",North America,40,"1,586",3,,,"1,115",2022-05-03
115,Ghana,"161,204",,"1,445 ",,"159,712",,47,1,"4,997",45,"2,437,331","75,554","32,259,308 ",Africa,200,"22,325",13,,,1,2022-05-03
116,Namibia,"158,811",,"4,025 ",,"153,662",,"1,124",,"60,498","1,533","1,007,690","383,870","2,625,079 ",Africa,17,652,3,,,428,2022-05-03
117,Martinique,"153,253",,926 ,,104,,"152,223",8,"408,966","2,471","828,928","2,212,050","374,733 ",North America,2,405,0,,,"406,217",2022-05-03
118,Trinidad and Tobago,"148,630",,"3,833 ",,"136,167",,"8,630",18,"105,578","2,723","708,367","503,180","1,407,780 ",North America,9,367,2,,,"6,130",2022-05-03
119,Brunei ,"141,911",,218 ,,"141,022",,671,1,"318,799",490,"717,784","1,612,480","445,143 ",Asia,3,"2,042",1,,,"1,507",2022-05-03
120,Guadeloupe,"140,130",,854 ,,"2,250",,"137,026",19,"350,107","2,134","938,039","2,343,639","400,249 ",North America,3,469,0,,,"342,352",2022-05-03
121,Cambodia,"136,257",+3,"3,056 ",,"133,144",+28,57,,"7,949",178,"2,953,579","172,298","17,142,279 ",Asia,126,"5,609",6,0.2,,3,2022-05-03
122,Jamaica,"130,299",,"2,967 ",,"83,689",,"43,643",,"43,654",994,"1,004,132","336,413","2,984,815 ",North America,23,"1,006",3,,,"14,622",2022-05-03
123,Rwanda,"129,812",,"1,459 ",,"45,522",,"82,831",,"9,588",108,"5,279,288","389,920","13,539,397 ",Africa,104,"9,280",3,,,"6,118",2022-05-03
124,Cameroon,"119,780",,"1,927 ",,"117,791",,62,13,"4,316",69,"1,751,774","63,117","27,754,322 ",Africa,232,"14,403",16,,,2,2022-05-03
125,Angola,"99,194",,"1,900 ",,"97,149",,145,,"2,856",55,"1,499,795","43,177","34,735,599 ",Africa,350,"18,282",23,,,4,2022-05-03
126,Malta,"91,975",,700 ,,"87,528",,"3,747",4,"207,293","1,578","1,886,047","4,250,774","443,695 ",Europe,5,634,0,,,"8,445",2022-05-03
